instance,algorithm,seed,objv,lb
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_999,MIP,7,661.0,329.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_999,MIP,9,691.0,167.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,5,406.0,195.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,9,402.0,199.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,5,720.0,390.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_999,MIP,1,783.0,675.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_999,MIP,7,751.0,626.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_123,MIP,2,782.0,609.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_123,MIP,10,786.0,574.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_123,MIP,8,789.0,544.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_999,MIP,4,545.0,165.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,9,729.0,361.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_123,MIP,1,375.0,211.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_123,MIP,4,383.0,206.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_999,MIP,1,772.0,374.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_999,MIP,5,781.0,621.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_123,MIP,7,382.0,211.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,2,735.0,485.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_123,MIP,2,375.0,212.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,7,409.0,225.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_999,MIP,5,450.0,184.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,6,405.0,199.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_123,MIP,5,373.0,210.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,1,493.0,316.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_123,MIP,8,782.0,612.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_999,MIP,10,765.0,551.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_999,MIP,3,745.0,547.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_999,MIP,1,747.0,480.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_123,MIP,4,784.0,540.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_123,MIP,1,786.0,663.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,10,706.0,216.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_999,MIP,8,723.0,495.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,4,739.0,489.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_999,MIP,8,776.0,673.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_999,MIP,7,605.0,173.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_999,MIP,7,433.0,164.0
